,reach_time,reach_label
0,20.593,f
1,28.214,f
2,29.628,r
3,33.882,r
4,34.304,f
5,36.336,r
6,42.306,r
7,55.788,f
8,71.247,s
9,73.5,r
10,80.66,f
11,88.88,f
12,91.272,r
13,95.146,r
14,119.457,f
15,121.811,r
16,122.453,r
17,139.831,r
18,142.811,s
19,151.15,f
20,179.413,s
21,188.505,f
22,196.2,s
23,200.164,r
24,206.38,s
25,209.948,r
26,214.108,s
27,223.632,s
28,225.012,r
29,226.792,r
30,234.678,s
31,243.545,f
32,243.886,r
33,244.451,r
34,262.539,s
35,287.947,f
36,308.432,s
37,314.427,s
38,322.211,s
39,330.988,s
40,349.099,f
41,351.323,r
42,357.912,f
43,378.158,f
44,379.638,r
45,395.209,f
46,411.635,f
47,438.878,s
48,447.609,s
49,456.933,s
50,467.788,f
51,468.905,f
52,475.038,f
53,493.397,f
54,512.64,f
55,519.38,s
